product_id,product_name,category,brand,price,rating,stock_level
P031,Movement While Max,Sports,Harrell LLC,201.3,2.9,281.0
P068,Upon Authority Lite,Beauty,Wood and Sons,,2.3,66.0
P063,Other Necessary Pro,Sports,Donovan-Harris,1005.12,3.2,477.0
P048,Report Ready Pro,Beauty,"Garcia, Powell and Morgan",255.31,1.0,199.0
P043,Drop Author Max,Electronics,Heath Inc,295.47,3.1,71.0
P041,End Down v2,Beauty,Morgan PLC,1297.12,1.2,334.0
P091,Family Have Lite,Fashion,"Hicks, Frazier and Anthony",615.05,4.3,155.0
P046,Investment Customer Pro,Electronics,Davis Group,1453.8,4.7,434.0
P011,Finally Themselves v2,Electronics,"Montgomery, Hensley and Ray",424.18,3.5,186.0
P001,Purpose Brother Pro,Electronics,Figueroa and Sons,1114.91,2.0,71.0
P019,Institution Executive Lite,Sports,Clark PLC,1123.05,2.7,298.0
P032,Thought Purpose Lite,Fashion,"Lynch, Hernandez and Farmer",796.23,3.4,
P098,Give Price Max,Beauty,Alvarado-Martinez,1080.34,2.5,204.0
P086,Talk Energy v2,Electronics,Moore-Haynes,12.52,4.7,275.0
P077,Color Site Max,,Arnold-Patterson,407.54,4.1,55.0
P005,Offer Kind Max,Electronics,Cole LLC,1050.23,2.4,79.0
P080,Law Care Pro,Fashion,Parker Inc,993.45,2.6,142.0
P034,Brother Woman v2,Home,Koch-Decker,1350.42,2.8,
P013,Base Top Max,Electronics,Delacruz Group,805.87,2.0,236.0
P027,Newspaper Enter Max,Home,"Valencia, Smith and Le",237.73,4.1,276.0
P052,Billion Apply Max,Beauty,"Kidd, Huff and Novak",94.75,3.0,435.0
P054,Medical Different Pro,Beauty,Barrera-Martin,1412.98,3.3,296.0
P023,Past Inside Lite,Beauty,Robinson-Bright,1456.91,4.4,5.0
P069,Left These Max,Home,"Warner, Carr and Archer",1114.43,3.2,218.0
P045,Cause Several v2,Electronics,"Johnston, Sanchez and Kennedy",1213.95,4.4,50.0
P099,We First Max,Fashion,"Parker, Ortiz and Powell",987.53,1.0,384.0
P016,Congress None Lite,Electronics,,607.74,1.3,467.0
P074,Mouth Middle v2,Home,Whitehead-Mathis,1461.02,4.0,473.0
P040,Inside Remain Pro,Fashion,"Brooks, Lam and Hayes",154.43,2.7,216.0
P010,Show Machine Lite,Fashion,"Martinez, Nielsen and Miller",1477.98,4.4,443.0
P085,Stay Word Pro,Sports,Pham-Shields,583.94,3.3,130.0
P012,Sea Available Lite,Fashion,Stanley LLC,539.35,3.7,359.0
P052,Billion Apply Max,Beauty,"Kidd, Huff and Novak",94.75,3.0,435.0
P056,Feeling Land Lite,Sports,"Bernard, Cowan and Peters",1402.71,1.8,366.0
P029,Finally Learn Lite,Home,Chavez Ltd,366.78,2.0,290.0
P065,Remain Quite Max,Sports,Bryant-Hickman,415.8,3.4,367.0
P006,Table True Lite,Fashion,Blake and Sons,162.29,2.5,183.0
P079,Well Church Lite,Beauty,"Johnson, Wood and Tran",464.73,4.2,
P066,Would Baby Max,Home,Ellis PLC,1034.37,4.4,258.0
P036,Your Bar Max,Sports,Dennis Inc,20.71,3.8,30.0
