interaction_id,user_id,product_id,action,timestamp,device,session_duration_sec
,U04594,P056,,2025-10-24 20:21:00.209340,Tablet,21.0
INT00069689,U04650,P023,view,2025-12-11 11:16:07.209340,Desktop,1549.0
INT00054155,U01362,P064,view,2025-11-27 09:22:10.209340,Tablet,1025.0
INT00031470,U04760,P081,view,2025-11-07 01:03:07.209340,Tablet,581.0
INT00048782,U02725,P066,purchase,2025-11-22 13:20:44.209340,Mobile,646.0
INT00050861,U04062,,view,2025-11-24 10:24:26.209340,Desktop,819.0
INT00022461,U01279,P044,click,2025-10-29 22:04:32.209340,Tablet,1323.0
INT00020313,U00947,P075,click,2025-10-27 22:33:51.209340,Tablet,814.0
INT00021176,U02290,P013,,2025-10-28 17:16:59.209340,Desktop,1365.0
INT00098446,U02289,P094,click,2026-01-06 07:37:04.209340,Desktop,372.0
INT00033681,U00247,P083,,2025-11-09 01:35:49.209340,Tablet,643.0
INT00061384,U00459,P081,click,2025-12-04 01:15:58.209340,Mobile,750.0
INT00096517,U04622,P082,click,2026-01-04 13:36:01.209340,Desktop,1167.0
INT00017560,U03247,P088,click,2025-10-25 10:37:53.209340,Mobile,1208.0
INT00003416,U01888,P096,,2025-10-12 16:28:13.209340,Desktop,1283.0
INT00042965,U03443,P012,view,2025-11-17 09:47:10.209340,Desktop,1795.0
INT00000876,U03161,P098,view,2025-10-10 10:20:55.209340,Tablet,1420.0
INT00060039,U00097,P085,view,2025-12-02 19:46:49.209340,Desktop,1220.0
INT00099004,U03288,P032,view,2026-01-06 19:27:23.209340,Desktop,1567.0
INT00009925,U02508,P026,view,2025-10-18 14:28:50.209340,Mobile,787.0
INT00078030,U02901,P085,view,2025-12-18 23:16:12.209340,Mobile,Invalid_Data
INT00004608,U00550,P067,view,2025-10-13 19:20:52.209340,Tablet,1797.0
INT00059845,U02481,P009,add_to_cart,2025-12-02 15:24:53.209340,Mobile,1262.0
INT00078545,U00729,P024,view,2025-12-19 10:27:12.209340,Tablet,972.0
INT00085927,U04177,P089,view,2025-12-26 00:37:22.209340,Mobile,18.0
INT00018804,U00377,P021,click,2025-10-26 14:16:17.209340,Mobile,465.0
INT00051669,U03056,P081,click,2025-11-25 04:00:43.209340,Mobile,274.0
INT00094946,U03494,P089,view,2026-01-03 03:36:31.209340,Mobile,558.0
INT00012580,U00978,P011,,2025-10-20 22:19:59.209340,Desktop,1666.0
